2025-05-27 19:04:16 | ChromaRAGClient | INFO | process_pdf_batch:136 | Successfully processed 2/2 PDFs
2025-05-27 19:04:16 | ChromaRAGClient | INFO | process_pdf_batch:137 | Total document chunks: 3
2025-05-27 19:04:16 | ChromaRAGClient | INFO | add_documents_to_chroma:147 | Adding 3 documents to Chroma database
2025-05-27 19:04:16 | ChromaRAGClient | INFO | add_documents:143 | Adding 3 documents to Chroma
2025-05-27 19:04:16 | ChromaRAGClient | INFO | add_documents:152 | Successfully added 3 documents to Chroma
2025-05-27 19:04:16 | ChromaRAGClient | INFO | add_documents:153 | Total documents in collection: 6
2025-05-27 19:04:16 | ChromaRAGClient | INFO | add_documents_to_chroma:153 | Successfully added 3 documents to Chroma
2025-05-27 19:04:16 | ChromaRAGClient | INFO | index_pdf_files:198 | Indexing pipeline completed: {'success': True, 'message': 'PDF indexing completed successfully', 'files_processed': 2, 'chunks_created': 3, 'chunks_indexed': 3}
2025-05-27 19:04:16 | ChromaRAGClient | INFO | index_directory:203 | Indexing directory: data/pdfs
2025-05-27 19:04:16 | ChromaRAGClient | ERROR | find_pdf_files:37 | Directory not found: data\pdfs
2025-05-27 19:04:16 | ChromaRAGClient | INFO | ask_rag:231 | Processing RAG query: 'What destinations are available?'
2025-05-27 19:04:19 | ChromaRAGClient | INFO | _log_to_notebook:353 | Query logged to notebook: notebooks/chroma_queries.ipynb
2025-05-27 19:04:19 | ChromaRAGClient | INFO | ask_rag:296 | RAG query completed with 3 sources
2025-05-27 19:04:19 | ChromaRAGClient | INFO | ask_rag:231 | Processing RAG query: 'Tell me about Dubai hotels'
2025-05-27 19:04:20 | ChromaRAGClient | INFO | _log_to_notebook:353 | Query logged to notebook: notebooks/chroma_queries.ipynb
2025-05-27 19:04:20 | ChromaRAGClient | INFO | ask_rag:296 | RAG query completed with 3 sources
2025-05-27 19:17:38 | ChromaRAGClient | INFO | __init__:40 | Initializing Chroma RAG Client...
2025-05-27 19:17:39 | ChromaRAGClient | INFO | __init__:110 | Chroma RAG Client initialized successfully
2025-05-27 19:17:39 | ChromaRAGClient | INFO | __init__:111 | Vector database: .db/chroma_db
2025-05-27 19:17:39 | ChromaRAGClient | INFO | __init__:112 | Collection size: 0 documents
2025-05-27 19:18:12 | ChromaRAGClient | INFO | __init__:40 | Initializing Chroma RAG Client...
2025-05-27 19:18:13 | ChromaRAGClient | INFO | __init__:110 | Chroma RAG Client initialized successfully
2025-05-27 19:18:13 | ChromaRAGClient | INFO | __init__:111 | Vector database: db/chroma_db
2025-05-27 19:18:13 | ChromaRAGClient | INFO | __init__:112 | Collection size: 6 documents
2025-05-27 19:18:38 | ChromaRAGClient | INFO | __init__:40 | Initializing Chroma RAG Client...
2025-05-27 19:18:39 | ChromaRAGClient | INFO | __init__:110 | Chroma RAG Client initialized successfully
2025-05-27 19:18:39 | ChromaRAGClient | INFO | __init__:111 | Vector database: db/chroma_db
